               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024209,           0.0079913,            0.024023,             0.63749,             0.97815,             0.68754,             0.54117,            0.011715,           0.0061368,            0.017869,             0.00307,             0.00307,             0.00307
                  37,            0.022097,           0.0086658,            0.026295,             0.64765,             0.95747,             0.69031,              0.5809,            0.010643,           0.0060931,            0.017781,            0.002872,            0.002872,            0.002872
                  38,            0.023375,           0.0077973,            0.024686,             0.64701,             0.95747,             0.69327,               0.567,           0.0093833,           0.0059268,            0.017691,            0.002674,            0.002674,            0.002674
                  39,            0.019607,           0.0073338,            0.023457,              0.6375,             0.97646,             0.71607,             0.52832,            0.011083,           0.0059951,            0.017565,            0.002476,            0.002476,            0.002476
                  40,            0.021972,             0.00792,            0.028199,             0.64312,             0.97257,             0.70037,             0.60989,           0.0091288,           0.0058613,            0.017502,            0.002278,            0.002278,            0.002278
                  41,            0.019484,           0.0068661,            0.025449,             0.63749,             0.97659,             0.70821,             0.59295,           0.0090518,           0.0057902,            0.017358,             0.00208,             0.00208,             0.00208
                  42,            0.017899,           0.0069758,            0.025401,             0.63625,             0.97753,             0.70747,             0.56453,            0.010435,           0.0058664,            0.017283,            0.001882,            0.001882,            0.001882
                  43,            0.020326,           0.0073063,            0.027146,             0.63183,             0.98042,             0.70712,             0.61554,           0.0083487,           0.0057046,             0.01724,            0.001684,            0.001684,            0.001684
                  44,             0.01845,           0.0072895,             0.02604,             0.63428,             0.97733,             0.70283,             0.58243,           0.0078496,           0.0056779,            0.017212,            0.001486,            0.001486,            0.001486
                  45,            0.017653,           0.0068022,            0.025862,             0.64734,              0.9788,             0.71115,             0.63135,           0.0078054,           0.0056009,            0.017197,            0.001288,            0.001288,            0.001288
                  46,            0.016301,           0.0068466,             0.02458,              0.6442,             0.97213,             0.71235,             0.64467,           0.0071969,            0.005477,            0.017254,             0.00109,             0.00109,             0.00109
                  47,            0.015154,           0.0069524,            0.025998,             0.64858,             0.97297,             0.70735,             0.64425,           0.0069309,           0.0054275,            0.017263,            0.000892,            0.000892,            0.000892
                  48,            0.015173,            0.007148,            0.022981,             0.64927,             0.97297,             0.70518,             0.62634,           0.0066299,            0.005377,            0.017246,            0.000694,            0.000694,            0.000694
                  49,            0.014646,           0.0070221,             0.02712,             0.65006,             0.97297,             0.70288,             0.65061,           0.0063664,           0.0053371,            0.017239,            0.000496,            0.000496,            0.000496
